var1(t-1),var2(t-1),var3(t-1),var4(t-1),var5(t-1),var6(t-1),var7(t-1),var8(t-1),var9(t-1),var10(t-1),var1(t),var2(t),var3(t),var4(t),var5(t),var6(t),var7(t),var8(t),var9(t),var10(t)
0.901286576,-1.395596094,1.359372272,0.116670825,-0.843910683,-0.298648582,0.039869565,0.371517973,-0.622528352,-0.240552718,0.901400433,-1.353227838,1.359372272,0.154766713,-0.083842043,-0.204850723,0.143580415,0.505820367,-0.667386795,-0.240552718
0.901400433,-1.353227838,1.359372272,0.154766713,-0.083842043,-0.204850723,0.143580415,0.505820367,-0.667386795,-0.240552718,0.901514289,-1.378648792,1.359372272,0.383342041,-0.387869499,0.076542854,0.938696935,0.774425155,-0.936537453,-0.240552718
0.901514289,-1.378648792,1.359372272,0.383342041,-0.387869499,0.076542854,0.938696935,0.774425155,-0.936537453,-0.240552718,0.901628145,-1.454911654,1.34953646,0.573821481,-0.995924411,0.114061998,0.731275234,0.774425155,-0.936537453,-0.329841333
0.901628145,-1.454911654,1.34953646,0.573821481,-0.995924411,0.114061998,0.731275234,0.774425155,-0.936537453,-0.329841333,0.901742002,-1.565069121,1.359372272,0.802396809,-0.919917547,0.039023711,0.731275234,0.774425155,-0.936537453,-0.329841333
0.901742002,-1.565069121,1.359372272,0.802396809,-0.919917547,0.039023711,0.731275234,0.774425155,-0.936537453,-0.329841333,0.901855858,-1.565069121,1.310193208,0.95478036,-0.919917547,0.039023711,0.713990093,0.707273958,-0.936537453,-0.329841333
0.901855858,-1.565069121,1.310193208,0.95478036,-0.919917547,0.039023711,0.713990093,0.707273958,-0.936537453,-0.329841333,0.901969714,-1.62438468,1.280685769,1.069068024,-0.235855771,0.039023711,0.696704951,0.640122761,-0.936537453,-0.329841333
0.901969714,-1.62438468,1.280685769,1.069068024,-0.235855771,0.039023711,0.696704951,0.640122761,-0.936537453,-0.329841333,0.902083571,-1.641331983,1.270849956,1.221451576,-0.235855771,0.039023711,0.5929941,0.774425155,-0.936537453,-0.419129948
0.902083571,-1.641331983,1.270849956,1.221451576,-0.235855771,0.039023711,0.5929941,0.774425155,-0.936537453,-0.419129948,0.902197427,-1.709121193,1.201999266,1.373835128,-0.311862635,0.114061998,0.558423817,0.774425155,-0.936537453,-0.419129948
0.902197427,-1.709121193,1.201999266,1.373835128,-0.311862635,0.114061998,0.558423817,0.774425155,-0.936537453,-0.419129948,0.902311283,-1.709121193,1.211835079,1.373835128,-0.843910683,0.264138573,0.48928325,0.908727549,-0.936537453,-0.329841333
0.902311283,-1.709121193,1.211835079,1.373835128,-0.843910683,0.264138573,0.48928325,0.908727549,-0.936537453,-0.329841333,0.902425139,-1.785384055,1.211835079,1.411931016,-0.691896955,0.320417288,0.523853533,1.043029943,-0.936537453,-0.419129948
0.902425139,-1.785384055,1.211835079,1.411931016,-0.691896955,0.320417288,0.523853533,1.043029943,-0.936537453,-0.419129948,0.902538996,-1.810805009,1.211835079,1.450026904,-0.919917547,0.376696004,0.5929941,1.311634731,-0.936537453,-0.329841333
0.902538996,-1.810805009,1.211835079,1.450026904,-0.919917547,0.376696004,0.5929941,1.311634731,-0.936537453,-0.329841333,0.902652852,-1.810805009,1.221670892,1.52621868,-0.919917547,0.33917686,0.662134667,1.848844307,-0.936537453,-0.329841333
0.902652852,-1.810805009,1.221670892,1.52621868,-0.919917547,0.33917686,0.662134667,1.848844307,-0.936537453,-0.329841333,0.902766708,-1.556595469,1.221670892,1.450026904,-0.767903819,0.376696004,0.731275234,1.445937125,-0.936537453,-0.329841333
