0,1,2,3,4,5
0.78833663,0.9430988,0.86908865,0.6555815,0.6058855,0.59477854
0.47689748,0.39317632,0.3904221,0.41186023,0.34557366,0.28359628
0.4178841,0.36453235,0.23186588,0.7965567,0.6358957,0.41059852
0.35291076,0.5973133,0.61510396,0.6956804,0.54971075,0.5067246
0.6856228,0.8329488,0.8125558,0.49605513,0.45970035,0.46787214
-0.058961034,0.3873992,0.37887192,0.3756175,0.28980827,0.35853648
-0.5224316,-0.08673358,0.12681508,-0.37928522,-0.36187577,0.12811852
-1.5529488,-1.2573988,-0.6849234,-0.6678145,-0.7797867,-0.316563
-1.3260283,-1.2257304,-1.0566171,-1.7608985,-1.5910224,-1.0599341
-1.0890135,-1.256741,-1.3368402,-1.8342748,-1.7366277,-1.9242958
-1.1985247,-1.2728584,-1.4027963,-1.6537596,-1.6503485,-1.6500189
-1.1958411,-1.2675673,-1.3825023,-1.7948376,-1.7207832,-1.7375016
-1.2238241,-1.3108959,-1.3503735,-1.4141314,-1.5450482,-1.5961523
-1.5909158,-1.4275067,-0.8555112,-1.4981619,-1.4104674,-0.768801
-1.6242146,-1.2019827,-0.64527214,-1.0642475,-0.8223784,0.057934523
-0.9563391,-0.60543096,-0.39144814,-1.3451154,-0.99672174,-0.25516593
-0.7626209,-0.6064645,-0.72569036,-1.4843327,-1.1580741,-0.6426301
-1.1321208,-0.9558016,-0.8405007,-2.022026,-1.6281914,-1.124802
-1.8571997,-1.5099347,-0.66710234,-1.8753014,-1.6107228,-0.59116006
-1.4217277,-1.352715,-0.94883895,-0.78150964,-0.88621783,-0.76439905
-1.6360849,-1.3160138,-0.42262053,0.034452915,-0.014258146,0.25806665
-1.4979243,-1.1772242,-0.22994196,0.056159258,-0.030901432,0.21579146
-1.1839007,-1.3127699,-0.8255888,-0.88778985,-1.1132784,-1.0156964
-1.2316706,-1.1032121,-0.4359293,-0.41436338,-0.4184178,-0.17542839
-0.2840767,0.016262889,0.14733887,0.24926734,0.18981409,0.28544164
-1.3830409,-1.0489123,-0.33873308,0.33700156,0.17622924,0.3688643
-1.5332419,-1.2118142,-0.3005519,0.21151662,0.10684037,0.33880472
-1.4844232,-1.1987634,-0.58157194,0.2966311,0.036224842,0.2817335
-1.1682336,-0.8749318,-0.37805212,0.3143747,0.191226,0.37575674
-0.5390403,-0.2147268,0.033657312,0.340132,0.26330614,0.31618667
-0.92232394,-0.6683961,-0.31378794,0.2212143,0.07665205,0.16109014
-0.71451294,-0.32612765,-0.019836426,0.37345052,0.32074285,0.43181682
-0.9123008,-0.5487999,-0.22675383,0.19946861,0.15847492,0.30315256
-0.9085856,-0.432891,-0.2505076,0.30960608,0.17778087,0.35388327
-0.8500512,-0.5020498,-0.21653998,0.33271766,0.26031923,0.36723256
-1.3720698,-0.9295162,-0.26688552,0.27196836,0.1352396,0.35054398
-0.74710274,-0.39679563,-0.19613647,0.38204527,0.18020248,0.2190001
-1.3931234,-1.0571885,-0.39372933,0.3809774,0.16706467,0.35549474
-1.2782238,-0.9953343,-0.35337663,0.3978815,0.19909382,0.36687636
-1.5345554,-1.3376875,-0.64779747,0.6137023,0.14026475,0.43383384
-1.66665,-1.4348365,-0.5626017,0.33799005,0.089848995,0.42704344
-1.7319231,-1.5493877,-0.8427911,-0.3546872,-0.6349592,-0.25543535
-1.3266606,-1.0317972,-0.48350048,-0.04115486,-0.24851,-0.03619504
-1.6080414,-1.4884937,-0.8653418,-0.06704974,-0.31179357,-0.07990193
-1.6113753,-1.4086047,-0.8415117,-0.5407448,-0.65335894,-0.3601433
-1.265532,-0.962368,-0.19512093,-0.09642196,-0.1279862,0.218992
-1.5282059,-1.3098632,-0.22703183,-0.044671297,-0.077748775,0.2706461
-1.8066957,-1.4060893,-0.72744095,-0.71939206,-0.6332228,0.0092766285
-1.7710178,-1.4191742,-0.68016255,-0.4259025,-0.39964485,0.08926535
-1.755278,-1.4190359,-0.86770487,-0.4207425,-0.43618393,-0.028293133
-1.6157112,-1.284384,-0.8627558,-1.591995,-1.3777987,-0.540151
-1.4157538,-0.8311533,-0.4757868,-1.3495021,-1.0272632,-0.13846564
-1.269681,-0.76942575,-0.4294697,-0.70970774,-0.45781016,0.21738267
-1.5445255,-1.168891,-0.3886218,-0.45445418,-0.35356092,0.12420726
-0.8061532,-0.56373703,-0.22805929,0.2580831,0.15802908,0.22707605
-0.444916,-0.11328912,0.102479935,0.21498752,0.23924899,0.37681746
-0.3515874,-0.018190265,0.041640043,0.27569818,0.30971432,0.39963603
-0.6260884,-0.23298979,0.04912138,0.27001834,0.15425515,0.2553873
-0.7460289,-0.36281812,-0.31304777,-0.38157964,-0.24719107,0.11752176
-0.52047944,-0.18081748,-0.10845423,-0.7436876,-0.40849245,0.124887705
-0.70469034,-0.45507443,-0.37044525,-1.5604048,-1.1112816,-0.47112727
-0.960866,-0.6450206,-0.44419026,-1.650233,-1.249495,-0.5739981
-1.0998442,-0.98603237,-0.828928,-2.0498662,-1.697557,-1.3463684
-1.2354493,-1.2572548,-1.2918471,-1.908328,-1.7206686,-1.5438999
-1.18979,-1.2684404,-1.2453496,-2.0754123,-1.9441074,-2.0581968
-1.2659698,-1.3704073,-1.3955181,-2.0092485,-1.9231479,-2.042479
-1.3610891,-1.4901752,-1.5885267,-1.915174,-1.8909774,-2.0131717
-1.4083587,-1.586017,-1.7789578,-1.7603445,-1.7929637,-1.9783126
-1.3490996,-1.5702639,-1.7200322,-1.8047085,-1.8117727,-2.092431
-1.3408344,-1.3863586,-1.3998461,-2.0239089,-1.9669417,-2.0015247
-1.2935793,-1.4150372,-1.5032122,-1.9252363,-1.8727069,-2.0021582
-1.2547698,-1.4167991,-1.4390473,-2.0511947,-1.9601725,-2.162285
-1.2829857,-1.4429885,-1.5020466,-1.9519471,-1.8956349,-2.0759823
-1.2954769,-1.4842336,-1.5644399,-1.8709779,-1.8629562,-2.066645
-1.259596,-1.4432206,-1.5288726,-1.8647498,-1.829692,-2.0091631
-1.2475328,-1.3840505,-1.4477409,-1.9597893,-1.8664907,-1.9982376
-0.90996337,-0.8554591,-0.77573884,-1.4762845,-1.2526197,-0.7775004
0.09520781,0.022962809,-0.25132036,-0.115005255,0.038959503,0.08881664
0.08369923,0.05071628,-0.11184955,0.3315451,0.32064295,0.1749289
-0.15352345,0.035094738,0.0358696,0.29092503,0.28439617,0.26553416
0.32765818,0.21297228,0.21068668,0.19952106,0.27806044,0.27229333
0.1993835,0.22177315,0.06349158,0.48077536,0.41073465,0.2625401
0.062404394,0.06422746,0.03132963,0.38594508,0.34273744,0.28858304
0.4235834,0.27404308,0.046271324,0.35046673,0.3910358,0.26814818
0.3975619,0.35188377,0.13190198,0.35060716,0.37544823,0.25305152
0.4602313,0.27998042,0.0854795,0.39500237,0.46378088,0.29973006
0.2777853,0.15572119,0.10737562,0.42165327,0.3968482,0.2541852
0.13703096,0.28457677,0.12775779,0.47300935,0.41347933,0.29932833
0.7945614,0.67740285,0.42483544,0.4213829,0.5027523,0.32705092
0.49780238,0.466967,0.2201724,0.50725865,0.43429685,0.22252798
0.07313669,0.11528885,0.026866674,0.36313462,0.34770632,0.22842956
0.4285817,0.39261615,0.27990937,0.33508325,0.36552477,0.2777617
0.5975164,0.489802,0.12937737,0.44446278,0.45439076,0.2959106
0.68380475,0.5533819,0.47090077,0.41356564,0.4909687,0.4261706
0.6948215,0.52886796,0.4521501,0.5644958,0.6759579,0.5563364
0.9139079,0.84119475,0.6945274,0.5829265,0.6822715,0.5724635
0.8455709,0.80146146,0.62608504,0.48453236,0.5360601,0.45711207
0.8317832,0.8009063,0.6209109,0.5287919,0.58427,0.4806111
0.4855907,0.5473356,0.50504255,0.5565455,0.6132951,0.57388186
0.70902944,0.55130196,0.58628726,0.46732926,0.49772,0.4138937
0.87013483,0.8715881,0.78534913,0.51861405,0.5672064,0.47366595
0.95833325,0.8670809,0.7107074,0.6201768,0.724643,0.53875494
1.0588111,1.0851936,1.043901,0.72685623,0.7557883,0.55597854
1.0168076,1.0105906,0.94414926,0.6414268,0.7439389,0.6410649
0.8922641,0.9348787,0.88556886,0.6009209,0.6684661,0.62734985
0.944818,0.8586794,0.659369,0.70547986,0.7481413,0.5754659
0.6808083,0.6469686,0.5532625,0.7903664,0.77347803,0.6018145
0.9017732,0.8664681,0.78096247,0.6843519,0.75385547,0.6165705
0.93897116,0.86258256,0.8487096,0.84437156,0.82264733,0.6109626
0.8592453,0.84725595,0.8358748,0.79642653,0.77191734,0.5872836
0.82735777,0.7174462,0.5337298,0.8413589,0.802716,0.55921245
0.73568,0.6509311,0.5813961,0.72110415,0.72276044,0.51406
1.0228295,0.96561635,0.7235143,0.8580904,0.827384,0.6176033
0.85001445,0.82530546,0.68912244,0.6428242,0.5811038,0.45585895
0.69613004,0.7548562,0.7062197,0.68882036,0.68472576,0.61625385
0.93053496,0.8732029,0.6748576,0.6980176,0.7007618,0.5661969
1.0474935,0.97438395,0.7145467,0.76692915,0.7499068,0.5418947
0.79490745,0.8090713,0.5784235,1.045569,0.9629986,0.7077625
1.0746056,1.0174137,0.68274117,1.0538051,0.96849155,0.675159
1.1563044,1.1111381,0.9607916,0.9863157,1.0121298,0.79768276
1.0887668,1.0560412,0.9160836,0.70332503,0.78055763,0.63968897
1.091712,1.0105554,0.7744074,0.5565469,0.67442083,0.5578084
1.0706563,1.0684588,0.89834785,0.9112351,0.8558612,0.5973997
1.2172831,1.2903135,1.2307887,0.6366782,0.71812654,0.71160316
0.77494323,1.0100195,0.96852183,0.9108567,0.75035715,0.73477006
0.8619424,0.9673685,0.9293854,0.5194826,0.638854,0.7335961
0.7603669,1.0324527,1.09447,0.7049477,0.7159171,0.7761986
1.2001749,1.2808752,1.3227856,1.1841276,1.1419957,0.97448707
0.74459934,0.8526484,0.8566663,0.4234712,0.32638836,0.2920518
0.70662844,0.761426,0.66402745,0.45117855,0.41191268,0.3068428
1.0485784,0.9514111,0.6324713,0.64976716,0.69174194,0.40141773
0.9065894,0.7210541,0.7728853,0.8372364,0.88439703,0.6962111
1.0637777,1.0092434,0.83990383,1.1161582,1.0586977,0.81693673
1.1747129,1.2357932,1.2399137,0.82403374,0.8027139,0.70304775
1.0255365,1.0166221,0.8982742,0.8902128,0.88957834,0.7391658
0.8124826,0.90516067,0.86916685,0.8505957,0.59998035,0.3694911
1.0011584,1.0518787,0.94390297,0.9118469,0.8504,0.7152872
0.8962791,0.9329783,0.7704077,0.64449143,0.55707836,0.2616253
1.086969,1.1089532,1.0016193,0.91621757,0.8945823,0.74974465
0.96619725,0.98472035,0.8705511,0.76008964,0.7353349,0.5874467
0.4947195,0.68135524,0.604851,0.6848166,0.39961338,0.35998893
0.6235465,0.47692835,0.291574,0.6043463,0.54018545,0.34874892
0.820719,0.91080654,0.89040565,0.67612696,0.5861366,0.4740262
0.790097,0.81728935,0.7493334,0.8248031,0.68406224,0.56302834
0.70653236,0.87852585,0.76012826,0.8961568,0.7296269,0.6566484
0.5005461,0.52609575,0.56491065,0.49099135,0.35004997,0.28061128
0.2706504,0.3071915,0.25290442,0.5324397,0.4233532,0.381701
-0.19897294,-0.12725747,-0.012698889,0.394099,0.14681649,0.16970992
0.06341541,0.17403686,0.19513345,0.6117871,0.56036496,0.50663304
-0.23365831,-0.07353032,0.07435751,0.38192272,0.22823715,0.29167724
-0.88317275,-0.63061786,0.009168863,0.055308342,-0.09108305,0.057350874
-0.62272143,-0.24369133,0.02542448,-0.3448949,-0.23910105,0.10505152
